gender,age,attendance_rate,study_hours_per_week,previous_gpa,internet_access,family_income_level,extracurricular,sleep_hours,final_result
Female,22,99.8,8,2.03,1,Low,0,6.23,0
Female,20,66.96,9,3.93,1,Medium,1,6.23,0
Female,21,75.85,15,2.5,0,High,1,6.23,0
Female,22,90.33,18,3.35,1,Low,1,6.23,1
Female,22,87.84,20,3.41,1,Medium,0,6.23,1
Male,19,66.16,6,3.22,1,High,0,6.23,0
Female,17,92.63,12,2.63,1,Medium,1,6.23,1
Male,17,68.98,2,2.54,0,Medium,0,6.23,0
Female,24,68.95,7,3.2,1,Low,1,6.23,0
Female,23,81.48,16,3.73,0,Low,1,6.23,1
Male,23,83.72,3,3.89,0,Low,1,6.23,0
Female,23,83.2,3,2.21,0,Medium,0,6.23,0
Male,23,63.66,27,2.31,0,Low,1,6.23,0
Female,21,95.1,33,3.89,1,Medium,1,6.23,1
Female,21,70.62,28,3.47,1,Medium,0,6.23,0
Male,22,65.18,1,3.77,1,Low,1,6.23,0
Female,18,95.55,8,2.41,0,High,0,6.23,0
Male,19,98.23,32,3.18,0,High,1,6.23,1
Female,19,94.49,4,3.4,0,High,0,6.23,0
Male,23,92.38,30,3.36,1,Medium,1,6.23,1
Male,22,86.21,6,2.82,0,Medium,1,6.23,0
Female,24,82.03,19,2.03,1,Medium,1,6.23,0
Female,20,63.48,32,3.17,1,Low,1,6.23,0
Male,18,76.34,9,2.51,1,Medium,1,6.23,0
Female,22,74.91,12,2.9,1,Low,0,6.23,0
Female,18,70.39,11,3.92,0,Low,0,6.23,0
Female,18,88.94,16,2.8,1,High,1,6.23,1
Male,18,79.84,1,3.68,0,High,1,6.23,0
Male,22,63.24,21,2.38,1,High,1,6.23,0
Male,23,68.81,30,3.34,0,Low,0,6.23,0
Male,19,87.33,13,3.95,0,Low,0,6.23,1
Male,19,63.05,34,2.2,1,Low,1,6.23,0
Male,23,94.05,4,2.02,1,Medium,0,6.23,0
Male,18,79.81,28,2.87,1,Low,1,6.23,1
Male,20,79.22,31,2.19,0,High,1,6.23,0
Male,17,83.7,27,3.5,1,High,1,6.23,1
Female,22,92.99,5,3.83,1,Low,0,6.23,0
Male,17,73.91,25,2.87,0,Low,1,6.23,0
Female,24,87.12,3,2.52,1,High,1,6.23,0
Female,23,82.63,33,2.87,0,Low,1,6.23,1
Female,20,70.68,4,3.45,1,High,0,6.23,0
Male,22,95.15,25,2.02,0,Medium,0,6.23,0
Male,23,91.9,20,3.18,0,High,0,6.23,1
Male,18,86.34,34,3.23,1,Medium,1,6.23,1
Male,19,94.02,26,3.28,0,Low,0,6.23,1
Female,17,94.69,5,2.48,1,Low,1,6.23,0
Male,21,88.33,28,3.43,1,Medium,0,6.23,1
Male,21,93.48,29,2.18,0,Low,1,6.23,0
Male,20,87.9,9,2.4,1,Medium,0,6.23,0
Male,18,87.21,6,3.75,0,Low,1,6.23,0
Male,24,84.74,19,3.48,0,High,0,6.23,1
Female,17,90.11,11,2.03,0,Low,0,6.23,0
Male,18,66.34,2,2.5,0,High,0,6.23,0
Female,17,95.23,9,2.43,0,High,1,6.23,0
Male,20,94.87,21,2.54,0,Medium,0,6.23,1
Female,20,61.17,24,2.5,0,Low,0,6.23,0
Male,24,93.03,34,2.13,0,Medium,0,6.23,0
Male,21,65.15,22,2.92,1,Low,0,6.23,0
Female,18,73.4,3,3.47,1,High,1,6.23,0
Female,22,89.74,12,3.21,0,High,0,6.23,1
Female,21,66.43,28,3.35,1,Low,1,6.23,0
Male,18,92.72,30,2.16,1,Low,1,6.23,0
Female,21,93.29,26,3.9,1,Medium,1,6.23,1
Male,22,80.3,21,3.68,1,Low,1,6.23,1
Male,19,60.26,28,3.61,1,Low,0,6.23,0
Female,19,71.48,26,3.65,1,Low,1,6.23,0
Female,24,84.68,33,3.87,0,Medium,1,6.23,1
Male,19,99.25,21,3.09,1,Low,1,6.23,1
Male,19,85.27,34,2.4,1,High,1,6.23,0
Female,23,70.39,18,3.23,1,Medium,0,6.23,0
Female,17,85.36,11,3.49,1,Medium,0,6.23,1
Female,23,81.6,23,3.48,0,High,1,6.23,1
Male,23,91.19,22,3.04,0,High,1,6.23,1
Male,24,64.28,17,2.14,0,High,1,6.23,0
Male,23,90.44,5,2.74,0,Low,0,6.23,0
Male,19,81.65,11,3.84,1,High,0,6.23,1
Male,22,98.52,30,3.17,0,Low,0,6.23,1
Male,24,73.67,15,3.08,0,Medium,0,6.23,0
Female,24,85.3,27,2.54,0,Medium,0,6.23,1
Male,20,97.28,33,2.74,0,High,1,6.23,1
Male,24,64.1,20,3.79,1,Low,0,6.23,0
Male,20,97.49,16,3.33,0,High,0,6.23,1
Female,24,87.52,34,3.57,1,High,1,6.23,1
Male,17,62.71,2,2.91,0,Low,0,6.23,0
Male,19,72.04,28,3.26,1,High,0,6.23,0
Female,24,88.33,6,2.5,1,Medium,0,6.23,0
Male,19,62.69,9,3.41,0,High,1,6.23,0
Male,19,83.29,20,2.86,0,Low,0,6.23,1
Male,21,73.84,1,2.89,0,Low,1,6.23,0
Male,24,84.84,8,3.3,0,Medium,1,6.23,0
Male,18,61.83,23,3.87,1,Low,0,6.23,0
Female,21,94.86,3,2.13,1,Low,0,6.23,0
Female,18,98.94,4,3.65,0,Medium,0,6.23,0
Female,19,98.76,25,2.58,0,High,0,6.23,1
Male,19,89.99,15,2.89,1,Medium,1,6.23,1
Male,21,65.2,21,2.04,0,High,0,6.23,0
Male,21,90.33,14,2.6,1,Medium,1,6.23,1
Female,18,60.98,12,3.01,0,High,1,6.23,0
Male,20,60.88,17,2.11,1,Medium,1,6.23,0
Male,18,72.94,9,2.98,1,High,1,6.23,0
Female,21,79.55,13,3.85,1,Medium,1,6.23,1
Male,22,90.82,15,2.21,1,High,0,6.23,0
Female,21,87.33,18,3.53,1,Medium,1,6.23,1
Female,22,77.84,33,2.82,0,Low,1,6.23,1
Female,17,70.95,6,3.31,1,High,0,6.23,0
Male,21,99.88,27,2.52,0,Medium,0,6.23,1
Male,17,77.05,23,2.32,1,High,1,6.23,0
Male,20,78.06,27,2.32,1,High,1,6.23,0
Male,18,66.54,34,2.14,0,Medium,0,6.23,0
Male,22,91.79,14,2.37,0,High,1,6.23,0
Male,18,87.75,8,3.33,0,Medium,0,6.23,0
Male,17,68.83,19,3.76,0,Low,0,6.23,0
Female,22,63.3,30,3.63,1,High,1,6.23,0
Male,18,87.22,14,3.37,0,Low,0,6.23,1
Female,21,86.18,20,2.22,1,High,1,6.23,0
Male,19,70.93,25,2.58,0,High,1,6.23,0
Male,17,98.03,24,2.62,0,High,1,6.23,1
Male,18,66.04,14,2.5,1,Medium,0,6.23,0
Female,17,77.29,26,3.03,1,Low,1,6.23,1
Female,23,97.74,23,3.07,0,High,0,6.23,1
Female,17,76.79,22,2.71,1,Medium,1,6.23,1
Female,22,85.54,19,2.71,1,High,1,6.23,1
Male,23,75.9,3,3.66,1,Medium,0,6.23,0
Female,24,70.97,19,3.58,1,High,1,6.23,0
Male,22,99.36,9,2.62,1,Low,1,6.23,0
Male,19,76.37,28,3.83,1,Low,0,6.23,1
Female,23,95.76,20,3.91,1,High,0,6.23,1
Female,24,69.2,7,2.65,1,Medium,0,6.23,0
Female,21,68.52,14,2.71,0,High,1,6.23,0
Female,17,61.25,9,3.01,1,Medium,0,6.23,0
Female,18,86.07,19,3.88,0,High,0,6.23,1
Female,20,74.74,14,3.75,1,Medium,1,6.23,0
Female,17,94.57,17,2.21,1,Low,0,6.23,0
Female,24,78.93,30,2.79,1,High,1,6.23,1
Male,17,98.73,9,3.11,1,Low,1,6.23,0
Female,19,67.42,33,3.01,0,Low,0,6.23,0
Female,21,94.74,25,2.39,0,High,1,6.23,0
Male,20,91.06,14,3.72,1,High,0,6.23,1
Female,23,90.84,11,3.35,0,Medium,0,6.23,1
Male,23,93.79,14,3.68,1,Medium,0,6.23,1
Male,23,90.44,30,3.72,1,Low,0,6.23,1
Female,24,85.05,4,3.5,0,Medium,1,6.23,0
Male,22,65.25,4,2.88,0,Medium,1,6.23,0
Male,22,61.3,28,3.22,1,High,0,6.23,0
Male,18,96.83,8,2.32,1,Medium,0,6.23,0
Male,20,84.67,2,3.35,0,Low,1,6.23,0
Female,23,91.86,22,2.36,1,Medium,0,6.23,0
Male,22,79.26,16,3.39,0,Low,1,6.23,1
Female,24,64.69,29,2.46,1,High,0,6.23,0
Male,18,65.01,30,2.24,1,Low,1,6.23,0
Male,21,87.42,12,2.33,0,Medium,1,6.23,0
Male,18,77.21,11,2.0,0,High,1,6.23,0
Male,22,68.02,21,3.44,0,Medium,0,6.23,0
Female,19,79.66,21,3.46,1,High,0,6.23,1
Female,24,62.57,5,3.03,1,High,0,6.23,0
Male,19,83.28,20,2.32,1,Medium,0,6.23,0
Male,23,70.76,3,2.17,1,Medium,0,6.23,0
Female,19,91.9,33,2.04,0,High,1,6.23,0
Male,23,72.41,9,2.33,1,High,1,6.23,0
Male,23,78.21,9,3.78,1,Medium,1,6.23,0
Male,22,60.46,4,2.48,1,Low,1,6.23,0
Female,19,62.9,17,2.71,0,Medium,1,6.23,0
Female,23,75.7,34,2.21,1,High,1,6.23,0
Female,20,79.2,24,2.44,1,Medium,1,6.23,0
Male,21,84.0,32,3.04,0,Low,0,6.23,1
Male,18,71.67,1,3.22,1,Medium,1,6.23,0
Female,18,87.8,8,2.49,1,High,0,6.23,0
Female,22,94.4,23,2.12,0,Medium,1,6.23,0
Female,19,91.19,12,2.78,1,High,1,6.23,1
Female,19,61.58,12,2.47,1,High,0,6.23,0
Male,23,79.22,15,2.44,1,Medium,1,6.23,0
Female,24,64.2,19,3.92,0,High,0,6.23,0
Male,17,69.68,26,3.23,1,High,1,6.23,0
Female,23,99.47,29,3.11,1,Low,0,6.23,1
Male,21,65.7,22,2.83,0,Low,1,6.23,0
Female,20,79.96,21,2.86,0,Low,0,6.23,1
Female,18,84.73,20,3.08,1,Low,0,6.23,1
Female,23,88.1,29,3.39,1,High,1,6.23,1
Female,17,82.39,4,3.4,1,Medium,1,6.23,0
Male,17,60.39,7,2.34,1,High,0,6.23,0
Female,23,73.06,28,3.0,0,High,1,6.23,0
Male,22,80.71,28,2.82,1,High,0,6.23,1
Male,18,63.51,4,3.74,0,Medium,1,6.23,0
Male,22,74.03,22,3.26,0,Low,0,6.23,0
Male,20,61.33,12,3.07,1,High,1,6.23,0
Female,17,63.14,3,2.23,1,High,0,6.23,0
Male,17,75.88,22,3.21,0,Low,1,6.23,1
Male,21,65.31,2,2.23,0,High,0,6.23,0
Male,20,82.7,24,2.67,1,Medium,0,6.23,1
Female,17,87.58,34,2.29,0,High,1,6.23,0
Female,20,92.02,27,3.38,1,High,1,6.23,1
Female,18,68.01,1,2.41,1,Low,0,6.23,0
Female,19,66.7,8,2.78,0,High,0,6.23,0
Male,17,64.18,23,3.79,0,High,0,6.23,0
Male,21,85.46,6,2.41,1,Medium,0,6.23,0
Female,18,88.26,22,3.02,0,Low,1,6.23,1
Male,23,61.26,25,2.84,1,Low,0,6.23,0
Male,20,97.45,18,2.04,1,Medium,0,6.23,0
Male,23,62.08,17,3.59,1,High,0,6.23,0
Female,22,81.65,12,2.14,0,Low,1,6.23,0
Female,18,88.36,6,2.95,1,Low,0,6.23,0
Male,23,94.84,26,3.12,1,High,1,6.23,1
Female,24,88.56,27,3.26,1,High,1,6.23,1
Female,24,92.07,8,3.38,1,Low,1,6.23,0
Female,17,73.58,19,2.51,1,High,1,6.23,0
Female,20,92.59,1,2.02,1,Low,1,6.23,0
Female,19,63.2,29,3.45,1,High,1,6.23,0
Male,18,95.79,14,3.07,1,High,1,6.23,1
Female,17,81.9,20,3.67,1,Medium,0,6.23,1
Male,21,92.69,13,3.64,1,High,0,6.23,1
Male,22,78.09,8,3.69,1,Medium,1,6.23,0
Female,20,85.74,20,2.97,0,High,0,6.23,1
Male,18,81.06,33,2.67,1,Low,0,6.23,1
Male,24,89.26,26,3.58,1,Low,1,6.23,1
Male,18,63.27,21,2.9,1,High,0,6.23,0
Female,19,62.41,9,2.37,0,High,1,6.23,0
Female,24,69.88,24,3.71,1,Low,0,6.23,0
Male,19,66.38,17,3.77,0,High,1,6.23,0
Female,21,94.87,24,2.93,1,Medium,1,6.23,1
Female,22,68.77,21,2.15,1,Medium,0,6.23,0
Female,21,99.03,13,2.78,0,Medium,0,6.23,1
Female,17,73.48,11,3.61,1,Medium,1,6.23,0
Male,17,67.28,19,3.8,0,Medium,1,6.23,0
Male,21,91.59,11,2.41,0,High,1,6.23,0
Female,22,86.35,13,2.13,1,High,0,6.23,0
Female,21,79.93,1,3.75,1,Medium,0,6.23,0
Male,22,82.21,19,2.78,1,High,0,6.23,1
Male,22,88.77,12,3.08,1,High,0,6.23,1
Female,23,69.14,8,3.94,0,Medium,1,6.23,0
Male,24,99.85,8,2.13,0,High,1,6.23,0
Female,20,98.99,12,3.3,1,High,1,6.23,1
Female,22,86.01,33,2.15,0,High,1,6.23,0
Male,19,67.98,26,2.75,0,Medium,0,6.23,0
Male,22,87.21,28,3.61,1,High,1,6.23,1
Female,22,62.89,5,2.87,0,Low,1,6.23,0
Female,22,61.23,8,3.99,0,Low,0,6.23,0
Male,23,70.31,25,3.12,1,Medium,0,6.23,0
Female,24,78.5,27,2.64,0,Low,1,6.23,1
Male,23,94.73,23,2.44,1,Medium,0,6.23,0
Female,17,89.09,30,2.7,0,Low,1,6.23,1
Male,23,89.71,23,2.75,1,Low,0,6.23,1
Male,19,77.02,20,2.14,0,Low,0,6.23,0
Male,19,73.84,18,2.74,0,Medium,1,6.23,0
Female,23,74.84,18,2.93,1,Medium,0,6.23,0
Female,24,99.51,2,3.45,1,High,1,6.23,0
Male,21,61.6,4,3.31,1,Medium,0,6.23,0
Female,20,94.68,30,3.42,1,Low,0,6.23,1
Male,24,83.15,33,2.02,0,Low,0,6.23,0
Male,23,77.54,18,2.44,0,Medium,0,6.23,0
Female,22,89.01,19,3.32,0,Medium,0,6.23,1
Female,18,79.47,28,2.97,1,Medium,1,6.23,1
Male,20,94.94,20,2.01,0,High,0,6.23,0
Female,20,96.03,33,3.61,0,Low,1,6.23,1
Female,19,76.87,12,3.55,1,High,0,6.23,1
Male,20,71.07,15,3.1,1,High,1,6.23,0
Male,23,83.69,2,2.13,0,Low,0,6.23,0
Female,22,96.49,29,3.53,1,Low,1,6.23,1
Male,22,68.43,10,3.17,0,Medium,1,6.23,0
Male,17,84.92,2,3.56,0,Medium,0,6.23,0
Female,22,85.26,11,3.5,1,High,0,6.23,1
Male,24,89.32,13,3.61,0,Medium,0,6.23,1
Male,22,65.26,10,3.04,1,Medium,1,6.23,0
Female,19,88.63,14,2.28,1,Low,1,6.23,0
Female,22,96.36,18,3.34,0,Low,0,6.23,1
Male,17,67.19,9,3.24,0,Medium,0,6.23,0
Male,18,69.5,28,3.48,0,Low,1,6.23,0
Female,23,98.86,3,2.34,1,Medium,1,6.23,0
Female,19,67.24,20,2.39,0,Low,0,6.23,0
Female,24,94.18,6,3.78,1,Low,1,6.23,0
Female,18,79.69,27,3.5,1,Low,0,6.23,1
Male,19,69.89,2,3.82,0,Low,0,6.23,0
Female,21,94.83,29,3.52,1,Medium,0,6.23,1
Female,20,77.81,3,3.19,0,High,1,6.23,0
Male,21,80.59,16,3.31,0,Low,1,6.23,1
Female,22,74.37,30,3.78,0,Medium,1,6.23,0
Male,18,83.72,2,3.16,0,Medium,1,6.23,0
Female,22,66.54,17,3.26,0,Low,0,6.23,0
Female,20,75.64,12,2.31,0,High,1,6.23,0
Female,19,98.78,1,2.95,0,Low,0,6.23,0
Male,20,70.33,15,3.43,1,Medium,0,6.23,0
Male,17,86.27,26,2.54,0,High,0,6.23,1
Female,20,73.01,21,2.4,1,Medium,1,6.23,0
Male,17,90.94,31,2.63,1,Low,0,6.23,1
Male,20,65.23,25,2.48,1,High,0,6.23,0
Male,23,98.79,23,2.43,0,Medium,1,6.23,0
Male,17,78.15,24,2.85,1,Medium,0,6.23,1
Male,18,69.44,28,3.82,1,Medium,1,6.23,0
Male,22,62.94,21,3.01,0,Low,1,6.23,0
Female,24,66.79,18,2.38,0,High,1,6.23,0
Female,22,80.79,9,2.15,1,Low,0,6.23,0
Male,21,73.48,30,3.39,0,Low,1,6.23,0
Female,22,93.16,34,2.77,0,Low,1,6.23,1
Female,19,77.24,32,3.64,0,High,1,6.23,1
Female,23,69.95,3,3.32,0,Low,1,6.23,0
Female,20,84.69,3,3.59,1,Low,0,6.23,0
Male,21,88.27,28,2.54,0,Low,1,6.23,1
Female,19,66.68,15,3.38,0,Low,0,6.23,0
Female,19,66.7,23,2.53,0,Medium,1,6.23,0
Male,17,61.47,11,3.88,1,Low,0,6.23,0
Male,22,89.46,32,3.27,1,Medium,1,6.23,1
Female,18,86.55,33,2.65,0,Low,0,6.23,1
Female,24,78.99,24,2.54,0,High,1,6.23,1
Female,18,93.77,34,2.38,1,Medium,0,6.23,0
Female,21,92.23,28,3.39,0,Medium,0,6.23,1
Female,23,83.41,7,2.44,0,Medium,0,6.23,0
Female,18,94.73,4,3.19,1,Medium,1,6.23,0
Male,20,68.23,1,2.53,0,High,0,6.23,0
Female,18,64.48,1,3.32,0,Low,0,6.23,0
Female,21,70.79,20,3.63,1,Medium,0,6.23,0
Male,24,62.28,19,3.56,1,High,0,6.23,0
Male,18,81.25,29,3.52,0,Medium,1,6.23,1
Male,20,97.46,10,2.38,1,Low,0,6.23,0
Male,17,61.57,18,2.18,0,Medium,0,6.23,0
Female,23,64.88,28,3.4,0,High,0,6.23,0
Female,21,78.09,31,2.74,0,Low,1,6.23,1
Female,17,97.36,27,2.86,1,High,0,6.23,1
Female,17,72.65,11,2.06,1,Low,0,6.23,0
Female,17,80.29,5,2.52,0,Low,0,6.23,0
Female,19,61.66,8,2.07,0,Low,0,6.23,0
Male,23,65.93,34,3.76,1,Medium,1,6.23,0
Female,24,99.47,12,2.49,1,High,0,6.23,0
Male,22,98.6,1,3.11,1,High,0,6.23,0
Male,23,60.2,31,2.08,0,High,1,6.23,0
Female,19,98.07,4,3.33,1,Low,1,6.23,0
Male,22,85.56,5,2.65,1,Medium,1,6.23,0
Female,23,94.72,30,3.8,0,Low,0,6.23,1
Male,17,78.19,24,3.78,0,High,1,6.23,1
Female,21,80.62,3,2.65,0,Medium,0,6.23,0
Male,22,79.55,11,3.8,1,Medium,1,6.23,1
Female,20,86.67,4,3.99,0,Medium,0,6.23,0
Female,20,65.59,26,3.65,0,High,1,6.23,0
Female,18,61.2,27,3.69,0,Medium,0,6.23,0
Female,22,72.32,27,2.5,0,Medium,1,6.23,0
Female,21,88.19,6,3.15,1,Low,0,6.23,0
Male,24,68.07,15,2.13,0,Low,0,6.23,0
Male,19,86.94,30,2.19,1,Medium,0,6.23,0
Male,17,98.8,23,4.0,1,Medium,0,6.23,1
Female,18,63.76,6,2.65,1,Low,0,6.23,0
Male,20,86.9,4,3.5,0,Low,0,6.23,0
Female,19,77.75,18,3.61,1,Low,0,6.23,1
Female,19,94.73,9,3.72,0,High,0,6.23,0
Male,17,67.09,29,4.0,0,High,1,6.23,0
Male,24,87.71,13,2.48,0,Low,0,6.23,0
Female,24,93.52,17,2.08,1,Medium,0,6.23,0
Male,22,97.78,32,2.82,0,Low,1,6.23,1
Female,20,87.33,22,2.26,0,High,0,6.23,0
Female,24,79.89,4,2.04,0,Medium,1,6.23,0
Female,21,84.71,5,2.72,1,High,0,6.23,0
Female,24,94.76,13,3.57,1,Medium,1,6.23,1
Female,19,82.82,34,3.13,1,High,1,6.23,1
Male,17,61.22,22,2.63,0,Medium,0,6.23,0
Male,21,97.24,23,3.31,1,Medium,1,6.23,1
Female,22,87.58,3,2.46,0,Medium,0,6.23,0
Female,20,87.06,34,2.03,0,Medium,0,6.23,0
Male,22,68.63,32,3.53,1,High,0,6.23,0
Male,19,86.36,21,3.25,0,High,0,6.23,1
Female,21,75.75,21,3.52,1,Medium,1,6.23,1
Male,21,86.05,11,2.08,0,Medium,0,6.23,0
Female,21,64.26,4,3.67,1,High,1,6.23,0
Male,19,86.31,1,3.24,0,Medium,1,6.23,0
Female,19,99.98,28,3.13,0,Medium,0,6.23,1
Male,22,61.93,24,3.25,0,Medium,0,6.23,0
Female,18,99.09,13,3.73,0,Low,0,6.23,1
Male,22,76.28,34,3.17,0,Medium,0,6.23,1
Male,20,94.83,11,3.16,1,Low,1,6.23,1
Female,17,91.3,17,3.98,0,Medium,0,6.23,1
Male,21,82.68,18,3.51,1,High,1,6.23,1
Female,18,89.54,22,2.88,1,Low,0,6.23,1
Male,17,95.14,24,3.41,1,Low,0,6.23,1
Female,18,76.17,19,2.78,0,Medium,0,6.23,1
Male,24,73.08,21,2.46,0,Medium,0,6.23,0
Female,24,86.7,8,3.19,0,Low,1,6.23,0
Male,23,92.31,28,3.86,1,High,1,6.23,1
Female,24,90.49,5,3.86,0,High,0,6.23,0
Male,22,91.91,17,2.68,0,Medium,1,6.23,1
Female,24,77.42,19,3.06,1,High,1,6.23,1
Female,19,92.71,27,2.42,1,High,0,6.23,0
Female,21,64.81,34,3.99,1,Medium,0,6.23,0
Male,22,81.78,11,3.96,1,High,1,6.23,1
Female,17,60.23,12,3.3,1,Medium,1,6.23,0
Male,23,72.98,21,3.61,1,Low,1,6.23,0
Female,23,74.66,11,3.43,0,Medium,1,6.23,0
Male,23,75.85,28,3.19,1,Low,0,6.23,1
Female,17,87.82,5,2.11,0,Low,0,6.23,0
Male,17,75.54,17,2.91,0,High,1,6.23,1
Male,17,77.95,20,3.35,0,High,0,6.23,1
Female,17,69.5,12,3.36,1,High,1,6.23,0
Male,23,74.93,6,2.75,0,Medium,1,6.23,0
Male,23,69.09,17,3.88,1,High,0,6.23,0
Female,18,62.93,19,2.33,1,Low,1,6.23,0
Male,22,84.14,26,3.0,0,High,1,6.23,1
Male,21,86.73,32,3.38,1,High,0,6.23,1
